Year,Country of residence,Country,Refugee,Refugees
2017,Cameroon,Mali,*,0
2017,Cameroon,Mauritania,*,0
2017,Cameroon,Niger,0,0
2017,Cameroon,Nigeria,85319,85319
2017,Cameroon,Pakistan,0,0
2017,Cameroon,Rwanda,832,832
2017,Cameroon,Sudan,79,79
2017,Cameroon,Senegal,0,0
2017,Cameroon,Sierra Leone,0,0
2017,Cameroon,South Sudan,12,12
2017,Cameroon,Swaziland,*,0
2017,Cameroon,Syrian Arab Rep.,15,15
2017,Cameroon,Chad,1521,1521
2017,Cameroon,Togo,17,17
2017,Cameroon,Turkey,0,0
2017,Cameroon,United Rep. of Tanzania,0,0
2017,Cameroon,Uganda,*,0
2017,Dem. Rep. of the Congo,Angola,494,494
2017,Dem. Rep. of the Congo,Burundi,44450,44450
2017,Dem. Rep. of the Congo,Central African Rep.,181917,181917
2017,Dem. Rep. of the Congo,Cote d'Ivoire,7,7
2017,Dem. Rep. of the Congo,Cameroon,*,0
2017,Dem. Rep. of the Congo,Dem. Rep. of the Congo,0,0
2017,Dem. Rep. of the Congo,Congo,661,661
2017,Dem. Rep. of the Congo,Eritrea,*,0
2017,Dem. Rep. of the Congo,Gabon,0,0
2017,Dem. Rep. of the Congo,Jordan,*,0
2017,Dem. Rep. of the Congo,Kenya,0,0
2017,Dem. Rep. of the Congo,Liberia,*,0
2017,Dem. Rep. of the Congo,Mali,0,0
2017,Dem. Rep. of the Congo,Nigeria,0,0
2017,Dem. Rep. of the Congo,Nepal,0,0
2017,Dem. Rep. of the Congo,Palestinian,0,0
2017,Dem. Rep. of the Congo,Rwanda,220377,220377
2017,Dem. Rep. of the Congo,Sudan,151,151
2017,Dem. Rep. of the Congo,Sierra Leone,*,0
2017,Dem. Rep. of the Congo,Somalia,14,14
2017,Dem. Rep. of the Congo,South Sudan,88970,88970
2017,Dem. Rep. of the Congo,Syrian Arab Rep.,8,8
2017,Dem. Rep. of the Congo,Chad,*,0
2017,Dem. Rep. of the Congo,Uganda,25,25
2017,Dem. Rep. of the Congo,Zimbabwe,0,0
2017,Congo,Angola,318,318
2017,Congo,Burundi,98,98
2017,Congo,Central African Rep.,26403,26403
2017,Congo,Cote d'Ivoire,*,0
2017,Congo,Cameroon,*,0
2017,Congo,Dem. Rep. of the Congo,12316,12316
2017,Congo,Congo,0,0
2017,Congo,Algeria,0,0
2017,Congo,Gabon,*,0
2017,Congo,Guinea,0,0
2017,Congo,Liberia,*,0
2017,Congo,Mali,6,6
2017,Congo,Mauritania,*,0
2017,Congo,Malaysia,0,0
2017,Congo,Nigeria,6,6
2017,Congo,Rwanda,9275,9275
2017,Congo,Sudan,26,26
2017,Congo,Sierra Leone,*,0
2017,Congo,Somalia,0,0
2017,Congo,South Sudan,*,0
2017,Congo,Syrian Arab Rep.,9,9
2017,Congo,Chad,37,37
2017,Congo,Togo,*,0
2017,Congo,Turkey,0,0
2017,Congo,Uganda,*,0
2017,Colombia,Afghanistan,8,8
2017,Colombia,Angola,*,0
2017,Colombia,Benin,*,0
2017,Colombia,Bolivia (Plurinational State of),*,0
2017,Colombia,China,*,0
2017,Colombia,Cameroon,0,0
2017,Colombia,Congo,*,0
2017,Colombia,Colombia,0,0
2017,Colombia,Cuba,71,71
2017,Colombia,Ecuador,9,9
2017,Colombia,Egypt,0,0
2017,Colombia,Eritrea,*,0
2017,Colombia,Spain,0,0
2017,Colombia,Ethiopia,17,17
2017,Colombia,Ghana,*,0
2017,Colombia,Gambia,0,0
2017,Colombia,Honduras,*,0
2017,Colombia,Haiti,*,0
2017,Colombia,Hungary,7,7
2017,Colombia,Iran (Islamic Rep. of),*,0
2017,Colombia,Iraq,9,9
2017,Colombia,Liberia,*,0
2017,Colombia,Libya,0,0
2017,Colombia,Sri Lanka,*,0
2017,Colombia,Mauritania,*,0
2017,Colombia,Nicaragua,14,14
2017,Colombia,Nepal,*,0
2017,Colombia,Pakistan,*,0
2017,Colombia,Peru,*,0
2017,Colombia,Palestinian,*,0
2017,Colombia,Romania,7,7
2017,Colombia,Rwanda,*,0
2017,Colombia,Sudan,*,0
2017,Colombia,Sierra Leone,*,0
2017,Colombia,El Salvador,11,11
2017,Colombia,Somalia,11,11
2017,Colombia,Serbia and Kosovo (S/RES/1244 (1999)),7,7
2017,Colombia,Syrian Arab Rep.,8,8
2017,Colombia,Turkey,*,0
2017,Colombia,Ukraine,0,0
2017,Colombia,Venezuela (Bolivarian Republic of),61,61
2017,Colombia,Stateless,*,0
2017,Colombia,Yemen,0,0
2017,Cabo Verde,Stateless,0,0
2017,Costa Rica,Afghanistan,*,0
2017,Costa Rica,Angola,0,0
2017,Costa Rica,Argentina,0,0
2017,Costa Rica,Armenia,*,0
2017,Costa Rica,Australia,0,0
2017,Costa Rica,Burkina Faso,0,0
2017,Costa Rica,Bangladesh,0,0
2017,Costa Rica,Bulgaria,*,0
2017,Costa Rica,Belarus,*,0
2017,Costa Rica,Bolivia (Plurinational State of),*,0
2017,Costa Rica,Brazil,0,0
2017,Costa Rica,Canada,0,0
2017,Costa Rica,Chile,0,0
2017,Costa Rica,Cote d'Ivoire,0,0
2017,Costa Rica,Cameroon,0,0
2017,Costa Rica,Dem. Rep. of the Congo,*,0
2017,Costa Rica,Congo,0,0
2017,Costa Rica,Colombia,2340,2340
2017,Costa Rica,Cuba,379,379
2017,Costa Rica,Germany,*,0
2017,Costa Rica,Dominican Rep.,*,0
2017,Costa Rica,Ecuador,0,0
2017,Costa Rica,Eritrea,*,0
2017,Costa Rica,Spain,0,0
2017,Costa Rica,Ethiopia,*,0
2017,Costa Rica,France,0,0
2017,Costa Rica,Georgia,*,0
2017,Costa Rica,Ghana,0,0
2017,Costa Rica,Guinea,0,0
2017,Costa Rica,Gambia,0,0
2017,Costa Rica,Guatemala,26,26
2017,Costa Rica,Guyana,0,0
2017,Costa Rica,Honduras,144,144
2017,Costa Rica,Haiti,12,12
2017,Costa Rica,India,*,0
2017,Costa Rica,Iran (Islamic Rep. of),5,5
2017,Costa Rica,Israel,0,0
2017,Costa Rica,Italy,0,0
2017,Costa Rica,Jamaica,0,0
2017,Costa Rica,Lebanon,0,0
2017,Costa Rica,Liberia,0,0
2017,Costa Rica,Sri Lanka,0,0
2017,Costa Rica,Mexico,6,6
2017,Costa Rica,Niger,0,0
2017,Costa Rica,Nigeria,19,19
2017,Costa Rica,Nicaragua,461,461
2017,Costa Rica,Nepal,0,0
2017,Costa Rica,Pakistan,0,0
2017,Costa Rica,Panama,*,0
2017,Costa Rica,Peru,15,15
2017,Costa Rica,Papua New Guinea,0,0
2017,Costa Rica,Dem. People's Rep. of Korea,0,0
2017,Costa Rica,Palestinian,*,0
2017,Costa Rica,Romania,*,0
2017,Costa Rica,Russian Federation,19,19
2017,Costa Rica,Saudi Arabia,0,0
2017,Costa Rica,Sudan,*,0
2017,Costa Rica,Senegal,0,0
2017,Costa Rica,Sierra Leone,*,0
2017,Costa Rica,El Salvador,667,667
2017,Costa Rica,Somalia,7,7
2017,Costa Rica,Suriname,0,0
2017,Costa Rica,Slovenia,0,0
2017,Costa Rica,Syrian Arab Rep.,9,9
2017,Costa Rica,Ukraine,17,17
2017,Costa Rica,Uruguay,0,0
2017,Costa Rica,United States of America,0,0
2017,Costa Rica,Uzbekistan,*,0
2017,Costa Rica,Venezuela (Bolivarian Republic of),338,338
2017,Costa Rica,Stateless,0,0
2017,Costa Rica,Various/Unknown,0,0
2017,Costa Rica,Yemen,0,0
2017,Costa Rica,Zambia,0,0
2017,Costa Rica,Zimbabwe,0,0
2017,Cuba,Afghanistan,45,45
2017,Cuba,Cuba,0,0
2017,Cuba,Eritrea,20,20
2017,Cuba,Western Sahara,176,176
2017,Cuba,Ethiopia,5,5
2017,Cuba,Haiti,*,0
2017,Cuba,Iran (Islamic Rep. of),26,26
2017,Cuba,Iraq,*,0
2017,Cuba,Palestinian,6,6
2017,Cuba,Syrian Arab Rep.,43,43
2017,Cuba,Yemen,17,17
2017,Curaçao,Colombia,45,45
2017,Curaçao,Cuba,6,6
2017,Curaçao,Curaçao,0,0
2017,Curaçao,Dominican Rep.,0,0
2017,Curaçao,Lebanon,*,0
2017,Curaçao,Syrian Arab Rep.,*,0
2017,Curaçao,Venezuela (Bolivarian Republic of),23,23
2017,Cayman Islands,Afghanistan,*,0
2017,Cayman Islands,Cuba,24,24
2017,Cayman Islands,Mexico,*,0
2017,Cayman Islands,Syrian Arab Rep.,*,0
2017,Cyprus,Afghanistan,12,12
2017,Cyprus,Albania,0,0
2017,Cyprus,Armenia,26,26
2017,Cyprus,Azerbaijan,0,0
2017,Cyprus,Burundi,*,0
2017,Cyprus,Burkina Faso,*,0
2017,Cyprus,Bangladesh,*,0
2017,Cyprus,Bulgaria,0,0
2017,Cyprus,Bosnia and Herzegovina,15,15
2017,Cyprus,Belarus,0,0
2017,Cyprus,Central African Rep.,*,0
2017,Cyprus,China,*,0
2017,Cyprus,Cote d'Ivoire,*,0
2017,Cyprus,Cameroon,32,32
2017,Cyprus,Dem. Rep. of the Congo,17,17
2017,Cyprus,Congo,*,0
2017,Cyprus,Comoros,*,0
2017,Cyprus,Cuba,*,0
2017,Cyprus,Dominican Rep.,0,0
2017,Cyprus,Algeria,8,8
2017,Cyprus,Egypt,98,98
2017,Cyprus,Eritrea,53,53
2017,Cyprus,Ethiopia,5,5
2017,Cyprus,Georgia,85,85
2017,Cyprus,Ghana,*,0
2017,Cyprus,Guinea,*,0
2017,Cyprus,Gambia,*,0
2017,Cyprus,Croatia,*,0
2017,Cyprus,Indonesia,*,0
2017,Cyprus,India,7,7
2017,Cyprus,Iran (Islamic Rep. of),523,523
2017,Cyprus,Iraq,854,854
2017,Cyprus,Israel,0,0
2017,Cyprus,Jordan,37,37
2017,Cyprus,Kazakhstan,*,0
2017,Cyprus,Kyrgyzstan,*,0
2017,Cyprus,Lebanon,48,48
2017,Cyprus,Liberia,*,0
2017,Cyprus,Libya,*,0
2017,Cyprus,Sri Lanka,25,25
2017,Cyprus,Morocco,*,0
2017,Cyprus,Rep. of Moldova,18,18
2017,Cyprus,The former Yugoslav Republic of Macedonia,*,0
2017,Cyprus,Mali,*,0
2017,Cyprus,Nigeria,9,9
2017,Cyprus,Nepal,*,0
2017,Cyprus,Pakistan,17,17
2017,Cyprus,Philippines,12,12
2017,Cyprus,Palestinian,1964,1964
2017,Cyprus,Russian Federation,76,76
2017,Cyprus,Rwanda,*,0
2017,Cyprus,Sudan,10,10
2017,Cyprus,Senegal,*,0
2017,Cyprus,Sierra Leone,24,24
2017,Cyprus,Somalia,148,148
2017,Cyprus,Serbia and Kosovo (S/RES/1244 (1999)),59,59
2017,Cyprus,Syrian Arab Rep.,5274,5274
2017,Cyprus,Togo,*,0
2017,Cyprus,Tajikistan,*,0
2017,Cyprus,Tunisia,0,0
2017,Cyprus,Turkey,193,193
2017,Cyprus,Ukraine,30,30
2017,Cyprus,Uzbekistan,*,0
2017,Cyprus,Venezuela (Bolivarian Republic of),0,0
2017,Cyprus,Viet Nam,*,0
2017,Cyprus,Stateless,56,56
2017,Cyprus,Various/Unknown,0,0
2017,Cyprus,Yemen,10,10
2017,Cyprus,South Africa,0,0
2017,Cyprus,Zimbabwe,*,0
2017,Czech Rep.,Afghanistan,234,234
2017,Czech Rep.,Angola,19,19
2017,Czech Rep.,Albania,6,6
2017,Czech Rep.,Armenia,69,69
2017,Czech Rep.,Azerbaijan,31,31
2017,Czech Rep.,Burundi,*,0
2017,Czech Rep.,Burkina Faso,*,0
2017,Czech Rep.,Bangladesh,*,0
2017,Czech Rep.,Bulgaria,16,16
2017,Czech Rep.,Bosnia and Herzegovina,13,13
2017,Czech Rep.,Belarus,364,364
2017,Czech Rep.,Botswana,0,0
2017,Czech Rep.,China,13,13
2017,Czech Rep.,Cote d'Ivoire,*,0
2017,Czech Rep.,Cameroon,6,6
2017,Czech Rep.,Dem. Rep. of the Congo,21,21
2017,Czech Rep.,Congo,*,0
2017,Czech Rep.,Colombia,0,0
2017,Czech Rep.,Cuba,228,228
2017,Czech Rep.,Djibouti,*,0
2017,Czech Rep.,Algeria,*,0
2017,Czech Rep.,Ecuador,*,0
2017,Czech Rep.,Egypt,*,0
2017,Czech Rep.,Eritrea,17,17
2017,Czech Rep.,Ethiopia,10,10
2017,Czech Rep.,Georgia,34,34
2017,Czech Rep.,Ghana,11,11
2017,Czech Rep.,Guinea,7,7
2017,Czech Rep.,Gambia,*,0
2017,Czech Rep.,Croatia,*,0
2017,Czech Rep.,India,*,0
2017,Czech Rep.,Iran (Islamic Rep. of),26,26
2017,Czech Rep.,Iraq,199,199
2017,Czech Rep.,Israel,*,0
2017,Czech Rep.,Kazakhstan,234,234
2017,Czech Rep.,Kyrgyzstan,21,21
2017,Czech Rep.,Lebanon,*,0
2017,Czech Rep.,Liberia,*,0
2017,Czech Rep.,Libya,9,9
2017,Czech Rep.,Sri Lanka,14,14
2017,Czech Rep.,Morocco,*,0
2017,Czech Rep.,Rep. of Moldova,25,25
2017,Czech Rep.,The former Yugoslav Republic of Macedonia,0,0
2017,Czech Rep.,Myanmar,160,160
2017,Czech Rep.,Mongolia,*,0
2017,Czech Rep.,Nigeria,13,13
2017,Czech Rep.,Nepal,*,0
2017,Czech Rep.,Pakistan,20,20
2017,Czech Rep.,Palestinian,*,0
2017,Czech Rep.,Romania,81,81
2017,Czech Rep.,Russian Federation,319,319
2017,Czech Rep.,Rwanda,*,0
2017,Czech Rep.,Saudi Arabia,*,0
2017,Czech Rep.,Sudan,17,17
2017,Czech Rep.,Senegal,*,0
2017,Czech Rep.,Sierra Leone,5,5
2017,Czech Rep.,Somalia,22,22
2017,Czech Rep.,Serbia and Kosovo (S/RES/1244 (1999)),9,9
2017,Czech Rep.,Syrian Arab Rep.,365,365
2017,Czech Rep.,Chad,*,0
2017,Czech Rep.,Togo,6,6
2017,Czech Rep.,Thailand,0,0
2017,Czech Rep.,Tajikistan,*,0
2017,Czech Rep.,Turkmenistan,5,5
2017,Czech Rep.,Tunisia,*,0
2017,Czech Rep.,Turkey,8,8
2017,Czech Rep.,Uganda,*,0
2017,Czech Rep.,Ukraine,444,444
2017,Czech Rep.,Uzbekistan,99,99
2017,Czech Rep.,Venezuela (Bolivarian Republic of),*,0
2017,Czech Rep.,Viet Nam,70,70
2017,Czech Rep.,Stateless,201,201
2017,Czech Rep.,Various/Unknown,109,109
2017,Czech Rep.,South Africa,*,0
2017,Germany,Afghanistan,104385,104385
2017,Germany,Angola,803,803
2017,Germany,Albania,983,983
2017,Germany,Andorra,*,0
2017,Germany,United Arab Emirates,27,27
2017,Germany,Argentina,14,14
2017,Germany,Armenia,2038,2038
2017,Germany,Australia,*,0
2017,Germany,Austria,*,0
2017,Germany,Azerbaijan,3313,3313
2017,Germany,Burundi,90,90
2017,Germany,Belgium,6,6
2017,Germany,Benin,73,73
2017,Germany,Burkina Faso,72,72
2017,Germany,Bangladesh,589,589
2017,Germany,Bulgaria,82,82
2017,Germany,Bahrain,73,73
2017,Germany,Bahamas,*,0
2017,Germany,Bosnia and Herzegovina,1478,1478
2017,Germany,Belarus,179,179
2017,Germany,Belize,0,0
2017,Germany,Bolivia (Plurinational State of),8,8
2017,Germany,Brazil,32,32
2017,Germany,Barbados,*,0
2017,Germany,Bhutan,21,21
2017,Germany,Botswana,5,5
2017,Germany,Central African Rep.,32,32
2017,Germany,Canada,24,24
2017,Germany,Switzerland,*,0
2017,Germany,Chile,178,178
2017,Germany,China,1588,1588
2017,Germany,Cote d'Ivoire,339,339
2017,Germany,Cameroon,594,594
2017,Germany,Dem. Rep. of the Congo,1594,1594
2017,Germany,Congo,249,249
2017,Germany,Colombia,67,67
2017,Germany,Comoros,*,0
2017,Germany,Cabo Verde,*,0
2017,Germany,Costa Rica,0,0
2017,Germany,Cuba,97,97
2017,Germany,Czech Rep.,777,777
2017,Germany,Djibouti,24,24
2017,Germany,Dominican Rep.,9,9
2017,Germany,Algeria,524,524
2017,Germany,Ecuador,12,12
2017,Germany,Egypt,1798,1798
2017,Germany,Eritrea,49253,49253
2017,Germany,Spain,17,17
2017,Germany,Estonia,*,0
2017,Germany,Ethiopia,4230,4230
2017,Germany,France,15,15
2017,Germany,Gabon,8,8
2017,Germany,United Kingdom,18,18
2017,Germany,Georgia,502,502
2017,Germany,Ghana,462,462
2017,Germany,Guinea,1663,1663
2017,Germany,Gambia,558,558
2017,Germany,Guinea-Bissau,75,75
2017,Germany,Equatorial Guinea,22,22
2017,Germany,Greece,48,48
2017,Germany,Grenada,0,0
2017,Germany,Guatemala,*,0
2017,Germany,Guyana,*,0
2017,Germany,Honduras,49,49
2017,Germany,Croatia,311,311
2017,Germany,Haiti,16,16
2017,Germany,Hungary,259,259
2017,Germany,Indonesia,12,12
2017,Germany,India,351,351
2017,Germany,Ireland,*,0
2017,Germany,Iran (Islamic Rep. of),38262,38262
2017,Germany,Iraq,130640,130640
2017,Germany,Iceland,*,0
2017,Germany,Israel,33,33
2017,Germany,Italy,17,17
2017,Germany,Jamaica,46,46
2017,Germany,Jordan,318,318
2017,Germany,Japan,28,28
2017,Germany,Kazakhstan,95,95
2017,Germany,Kenya,180,180
2017,Germany,Kyrgyzstan,165,165
2017,Germany,Cambodia,27,27
2017,Germany,Rep. of Korea,45,45
2017,Germany,Kuwait,31,31
2017,Germany,Lao People's Dem. Rep.,44,44
2017,Germany,Lebanon,1390,1390
2017,Germany,Liberia,73,73
2017,Germany,Libya,1379,1379
2017,Germany,Sri Lanka,3863,3863
2017,Germany,Lithuania,*,0
2017,Germany,Luxembourg,*,0
2017,Germany,Latvia,12,12
2017,Germany,Morocco,576,576
2017,Germany,Rep. of Moldova,86,86
2017,Germany,Madagascar,*,0
2017,Germany,Mexico,13,13
2017,Germany,The former Yugoslav Republic of Macedonia,605,605
2017,Germany,Mali,216,216
2017,Germany,Myanmar,831,831
2017,Germany,Montenegro,283,283
2017,Germany,Mongolia,103,103
2017,Germany,Mozambique,11,11
2017,Germany,Mauritania,33,33
2017,Germany,Mauritius,*,0
2017,Germany,Malawi,*,0
2017,Germany,Malaysia,10,10
2017,Germany,Namibia,0,0
2017,Germany,Niger,44,44
2017,Germany,Nigeria,3971,3971
2017,Germany,Nicaragua,*,0
2017,Germany,Netherlands,21,21
2017,Germany,Norway,*,0
2017,Germany,Nepal,50,50
2017,Germany,New Zealand,8,8
2017,Germany,Oman,9,9
2017,Germany,Pakistan,6572,6572
2017,Germany,Peru,38,38
2017,Germany,Philippines,28,28
2017,Germany,Poland,666,666
2017,Germany,Dem. People's Rep. of Korea,92,92
2017,Germany,Portugal,6,6
2017,Germany,Paraguay,*,0
2017,Germany,Qatar,*,0
2017,Germany,Romania,163,163
2017,Germany,Russian Federation,6960,6960
2017,Germany,Rwanda,207,207
2017,Germany,Saudi Arabia,105,105
2017,Germany,Sudan,1974,1974
2017,Germany,Senegal,130,130
2017,Germany,Singapore,7,7
2017,Germany,Solomon Islands,8,8
2017,Germany,Sierra Leone,563,563
2017,Germany,El Salvador,11,11
2017,Germany,Somalia,19508,19508
2017,Germany,Serbia and Kosovo (S/RES/1244 (1999)),9232,9232
2017,Germany,South Sudan,59,59
2017,Germany,Slovakia,85,85
2017,Germany,Slovenia,7,7
2017,Germany,Sweden,6,6
2017,Germany,Swaziland,*,0
2017,Germany,Seychelles,*,0
2017,Germany,Syrian Arab Rep.,496674,496674
2017,Germany,Chad,83,83
2017,Germany,Togo,1081,1081
2017,Germany,Thailand,26,26
2017,Germany,Tajikistan,490,490
2017,Germany,Turkmenistan,50,50
2017,Germany,Timor-Leste,*,0
2017,Germany,Trinidad and Tobago,*,0
2017,Germany,Tunisia,160,160
2017,Germany,Turkey,21120,21120
2017,Germany,United Rep. of Tanzania,34,34
2017,Germany,Uganda,160,160
2017,Germany,Ukraine,631,631
2017,Germany,Uruguay,*,0
2017,Germany,United States of America,141,141
2017,Germany,Uzbekistan,101,101
2017,Germany,Saint Vincent and the Grenadines,*,0
2017,Germany,Venezuela (Bolivarian Republic of),80,80
2017,Germany,Viet Nam,1279,1279
2017,Germany,Stateless,8574,8574
2017,Germany,Various/Unknown,28278,28278
2017,Germany,Yemen,1171,1171
2017,Germany,South Africa,17,17
2017,Germany,Zambia,7,7
2017,Germany,Zimbabwe,154,154
2017,Djibouti,Burundi,0,0
2017,Djibouti,Cameroon,0,0
2017,Djibouti,Eritrea,406,406
2017,Djibouti,Ethiopia,527,527
2017,Djibouti,Iraq,14,14
2017,Djibouti,Kenya,10,10
2017,Djibouti,Madagascar,0,0
2017,Djibouti,Pakistan,*,0
2017,Djibouti,Philippines,*,0
2017,Djibouti,Rwanda,*,0
2017,Djibouti,Sudan,6,6
2017,Djibouti,Sierra Leone,0,0
2017,Djibouti,Somalia,13108,13108
2017,Djibouti,South Sudan,0,0
2017,Djibouti,Syrian Arab Rep.,9,9
2017,Djibouti,Yemen,3468,3468
2017,Denmark,Afghanistan,2668,2668
2017,Denmark,Angola,*,0
2017,Denmark,Albania,5,5
2017,Denmark,Armenia,70,70
2017,Denmark,Azerbaijan,50,50
2017,Denmark,Burundi,5,5
2017,Denmark,Benin,*,0
2017,Denmark,Burkina Faso,*,0
2017,Denmark,Bangladesh,20,20
2017,Denmark,Bulgaria,0,0
2017,Denmark,Bahrain,0,0
2017,Denmark,Bosnia and Herzegovina,5,5
2017,Denmark,Belarus,*,0
2017,Denmark,Brazil,0,0
2017,Denmark,Bhutan,*,0
2017,Denmark,Chile,0,0
2017,Denmark,China,17,17
2017,Denmark,Cote d'Ivoire,14,14
2017,Denmark,Cameroon,6,6
2017,Denmark,Dem. Rep. of the Congo,87,87
2017,Denmark,Congo,*,0
2017,Denmark,Colombia,*,0
2017,Denmark,Djibouti,*,0
2017,Denmark,Algeria,*,0
2017,Denmark,Egypt,16,16
2017,Denmark,Eritrea,4006,4006
2017,Denmark,Ethiopia,94,94
2017,Denmark,Finland,0,0
2017,Denmark,Georgia,*,0
2017,Denmark,Ghana,*,0
2017,Denmark,Guinea,*,0
2017,Denmark,Gambia,*,0
2017,Denmark,Guinea-Bissau,*,0
2017,Denmark,Guatemala,*,0
2017,Denmark,Hungary,0,0
2017,Denmark,Indonesia,0,0
2017,Denmark,India,5,5
2017,Denmark,Iran (Islamic Rep. of),3107,3107
2017,Denmark,Iraq,661,661
2017,Denmark,Jordan,*,0
2017,Denmark,Kazakhstan,*,0
2017,Denmark,Kenya,6,6
2017,Denmark,Kyrgyzstan,5,5
2017,Denmark,Rep. of Korea,*,0
2017,Denmark,Kuwait,*,0
2017,Denmark,Lebanon,26,26
2017,Denmark,Libya,11,11
2017,Denmark,Sri Lanka,71,71
2017,Denmark,Lithuania,0,0
2017,Denmark,Morocco,8,8
2017,Denmark,Rep. of Moldova,0,0
2017,Denmark,The former Yugoslav Republic of Macedonia,0,0
2017,Denmark,Mali,*,0
2017,Denmark,Myanmar,45,45
2017,Denmark,Mozambique,0,0
2017,Denmark,Mauritania,*,0
2017,Denmark,Malaysia,0,0
2017,Denmark,Nigeria,12,12
2017,Denmark,Nepal,7,7
2017,Denmark,Pakistan,58,58
2017,Denmark,Panama,0,0
2017,Denmark,Peru,*,0
2017,Denmark,Philippines,0,0
2017,Denmark,Dem. People's Rep. of Korea,9,9
2017,Denmark,Palestinian,24,24
2017,Denmark,Russian Federation,1029,1029
2017,Denmark,Rwanda,20,20
2017,Denmark,Saudi Arabia,*,0
2017,Denmark,Sudan,77,77
2017,Denmark,Senegal,0,0
2017,Denmark,Sierra Leone,*,0
2017,Denmark,El Salvador,*,0
2017,Denmark,Somalia,1292,1292
2017,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),*,0
2017,Denmark,Syrian Arab Rep.,19221,19221
2017,Denmark,Chad,*,0
2017,Denmark,Thailand,*,0
2017,Denmark,Tajikistan,5,5
2017,Denmark,Tunisia,*,0
2017,Denmark,Turkey,*,0
2017,Denmark,United Rep. of Tanzania,*,0
2017,Denmark,Uganda,75,75
2017,Denmark,Ukraine,26,26
2017,Denmark,United States of America,0,0
2017,Denmark,Uzbekistan,11,11
2017,Denmark,Venezuela (Bolivarian Republic of),0,0
2017,Denmark,Viet Nam,0,0
2017,Denmark,Stateless,2676,2676
2017,Denmark,Various/Unknown,30,30
2017,Denmark,Yemen,*,0
2017,Denmark,Zambia,*,0
2017,Denmark,Zimbabwe,13,13
2017,Dominican Rep.,Afghanistan,*,0
2017,Dominican Rep.,Colombia,*,0
2017,Dominican Rep.,Cuba,0,0
2017,Dominican Rep.,Ecuador,5,5
2017,Dominican Rep.,Honduras,0,0
2017,Dominican Rep.,Haiti,574,574
2017,Dominican Rep.,Iran (Islamic Rep. of),*,0
2017,Dominican Rep.,Iraq,*,0
2017,Dominican Rep.,Italy,0,0
2017,Dominican Rep.,Libya,0,0
2017,Dominican Rep.,Sri Lanka,0,0
2017,Dominican Rep.,Mali,0,0
2017,Dominican Rep.,Niger,0,0
2017,Dominican Rep.,Nigeria,*,0
2017,Dominican Rep.,Russian Federation,0,0
2017,Dominican Rep.,Syrian Arab Rep.,*,0
2017,Dominican Rep.,Turkey,0,0
2017,Dominican Rep.,Ukraine,*,0
2017,Dominican Rep.,Venezuela (Bolivarian Republic of),0,0
2017,Algeria,Afghanistan,*,0
2017,Algeria,Burundi,*,0
2017,Algeria,Benin,0,0
2017,Algeria,Burkina Faso,0,0
2017,Algeria,Central African Rep.,43,43
2017,Algeria,Cote d'Ivoire,39,39
2017,Algeria,Cameroon,16,16
2017,Algeria,Dem. Rep. of the Congo,47,47
2017,Algeria,Congo,*,0
2017,Algeria,Western Sahara,90000,90000
2017,Algeria,Ethiopia,0,0
2017,Algeria,Guinea,*,0
2017,Algeria,Iraq,13,13
2017,Algeria,Jordan,0,0
2017,Algeria,Lebanon,0,0
2017,Algeria,Liberia,*,0
2017,Algeria,Libya,19,19
2017,Algeria,Mali,34,34
2017,Algeria,Niger,0,0
2017,Algeria,Nigeria,*,0
2017,Algeria,Palestinian,4014,4014
2017,Algeria,Sudan,*,0
2017,Algeria,Senegal,*,0
2017,Algeria,Somalia,*,0
2017,Algeria,Syrian Arab Rep.,8,8
2017,Algeria,Chad,*,0
2017,Algeria,Togo,5,5
2017,Algeria,Tunisia,0,0
2017,Algeria,Yemen,5,5
2017,Ecuador,Afghanistan,94,94
2017,Ecuador,Angola,*,0
2017,Ecuador,Albania,6,6
2017,Ecuador,Argentina,*,0
2017,Ecuador,Armenia,*,0
2017,Ecuador,Azerbaijan,*,0
2017,Ecuador,Burundi,*,0
2017,Ecuador,Benin,0,0
2017,Ecuador,Burkina Faso,0,0
2017,Ecuador,Bangladesh,*,0
2017,Ecuador,Bosnia and Herzegovina,*,0
2017,Ecuador,Belarus,*,0
2017,Ecuador,Bolivia (Plurinational State of),0,0
2017,Ecuador,Brazil,*,0
2017,Ecuador,Canada,0,0
2017,Ecuador,Chile,*,0
2017,Ecuador,China,12,12
2017,Ecuador,Cote d'Ivoire,*,0
2017,Ecuador,Cameroon,*,0
2017,Ecuador,Dem. Rep. of the Congo,*,0
2017,Ecuador,Congo,*,0
2017,Ecuador,Colombia,46616,46616
2017,Ecuador,Costa Rica,0,0
2017,Ecuador,Cuba,212,212
2017,Ecuador,Germany,*,0
2017,Ecuador,Dominican Rep.,*,0
2017,Ecuador,Egypt,0,0
2017,Ecuador,Eritrea,11,11
2017,Ecuador,Western Sahara,*,0
2017,Ecuador,Spain,*,0
2017,Ecuador,Ethiopia,*,0
2017,Ecuador,France,0,0
2017,Ecuador,Ghana,*,0
2017,Ecuador,Guinea,9,9
2017,Ecuador,Gambia,0,0
2017,Ecuador,Guinea-Bissau,*,0
2017,Ecuador,Guyana,0,0
2017,Ecuador,Honduras,0,0
2017,Ecuador,Haiti,21,21
2017,Ecuador,Indonesia,0,0
