Origin,Year,Type,Value,ocode
CÌ«te d'Ivoire,2017,Refugees,39939,CIV
Dem. People's Rep. of Korea,1994,Refugees,3,PRK
Dem. People's Rep. of Korea,1995,Refugees,7,PRK
Dem. People's Rep. of Korea,1996,Refugees,11,PRK
Dem. People's Rep. of Korea,1997,Refugees,1,PRK
Dem. People's Rep. of Korea,1998,Refugees,9,PRK
Dem. People's Rep. of Korea,1999,Refugees,13,PRK
Dem. People's Rep. of Korea,2000,Asylum-seekers,54,PRK
Dem. People's Rep. of Korea,2000,Refugees,13,PRK
Dem. People's Rep. of Korea,2001,Asylum-seekers,53,PRK
Dem. People's Rep. of Korea,2001,Refugees,19,PRK
Dem. People's Rep. of Korea,2002,Asylum-seekers,71,PRK
Dem. People's Rep. of Korea,2002,Refugees,259,PRK
Dem. People's Rep. of Korea,2003,Asylum-seekers,45,PRK
Dem. People's Rep. of Korea,2003,Refugees,304,PRK
Dem. People's Rep. of Korea,2004,Asylum-seekers,69,PRK
Dem. People's Rep. of Korea,2004,Refugees,343,PRK
Dem. People's Rep. of Korea,2005,Asylum-seekers,78,PRK
Dem. People's Rep. of Korea,2005,Refugees,288,PRK
Dem. People's Rep. of Korea,2006,Asylum-seekers,105,PRK
Dem. People's Rep. of Korea,2006,Refugees,398,PRK
Dem. People's Rep. of Korea,2007,Asylum-seekers,237,PRK
Dem. People's Rep. of Korea,2007,Refugees,605,PRK
Dem. People's Rep. of Korea,2008,Asylum-seekers,211,PRK
Dem. People's Rep. of Korea,2008,Refugees,886,PRK
Dem. People's Rep. of Korea,2009,Asylum-seekers,129,PRK
Dem. People's Rep. of Korea,2009,Refugees,881,PRK
Dem. People's Rep. of Korea,2010,Asylum-seekers,278,PRK
Dem. People's Rep. of Korea,2010,Refugees,917,PRK
Dem. People's Rep. of Korea,2011,Asylum-seekers,549,PRK
Dem. People's Rep. of Korea,2011,Refugees,1052,PRK
Dem. People's Rep. of Korea,2012,Asylum-seekers,1027,PRK
Dem. People's Rep. of Korea,2012,Refugees,1132,PRK
Dem. People's Rep. of Korea,2013,Asylum-seekers,952,PRK
Dem. People's Rep. of Korea,2013,Refugees,1167,PRK
Dem. People's Rep. of Korea,2014,Asylum-seekers,240,PRK
Dem. People's Rep. of Korea,2014,Refugees,1282,PRK
Dem. People's Rep. of Korea,2015,Asylum-seekers,230,PRK
Dem. People's Rep. of Korea,2015,Refugees,1101,PRK
Dem. People's Rep. of Korea,2016,Asylum-seekers,533,PRK
Dem. People's Rep. of Korea,2016,Refugees,1422,PRK
Dem. People's Rep. of Korea,2017,Asylum-seekers,586,PRK
Dem. People's Rep. of Korea,2017,Refugees,1161,PRK
Dem. Rep. of the Congo,1964,Refugees,58700,COD
Dem. Rep. of the Congo,1965,Refugees,47000,COD
Dem. Rep. of the Congo,1966,Refugees,74800,COD
Dem. Rep. of the Congo,1967,Refugees,78190,COD
Dem. Rep. of the Congo,1968,Refugees,67330,COD
Dem. Rep. of the Congo,1969,Refugees,54530,COD
Dem. Rep. of the Congo,1970,Refugees,51650,COD
Dem. Rep. of the Congo,1971,Refugees,43470,COD
Dem. Rep. of the Congo,1972,Refugees,43920,COD
Dem. Rep. of the Congo,1973,Refugees,43380,COD
Dem. Rep. of the Congo,1974,Refugees,39820,COD
Dem. Rep. of the Congo,1975,Refugees,39410,COD
Dem. Rep. of the Congo,1976,Refugees,44070,COD
Dem. Rep. of the Congo,1977,Refugees,264940,COD
Dem. Rep. of the Congo,1978,Refugees,151560,COD
Dem. Rep. of the Congo,1979,Refugees,70450,COD
Dem. Rep. of the Congo,1980,Refugees,116750,COD
Dem. Rep. of the Congo,1981,Refugees,118970,COD
Dem. Rep. of the Congo,1982,Refugees,92455,COD
Dem. Rep. of the Congo,1983,Refugees,101571,COD
Dem. Rep. of the Congo,1984,Refugees,94512,COD
Dem. Rep. of the Congo,1985,Refugees,86418,COD
Dem. Rep. of the Congo,1986,Refugees,96619,COD
Dem. Rep. of the Congo,1987,Refugees,69428,COD
Dem. Rep. of the Congo,1988,Refugees,103537,COD
Dem. Rep. of the Congo,1989,Refugees,100786,COD
Dem. Rep. of the Congo,1990,Refugees,67423,COD
Dem. Rep. of the Congo,1991,Refugees,65816,COD
Dem. Rep. of the Congo,1992,Refugees,81269,COD
Dem. Rep. of the Congo,1993,Refugees,74826,COD
Dem. Rep. of the Congo,1994,Refugees,73286,COD
Dem. Rep. of the Congo,1995,Refugees,89738,COD
Dem. Rep. of the Congo,1996,Refugees,158794,COD
Dem. Rep. of the Congo,1997,Refugees,173995,COD
Dem. Rep. of the Congo,1998,Refugees,158833,COD
Dem. Rep. of the Congo,1999,Refugees,255950,COD
Dem. Rep. of the Congo,2000,Asylum-seekers,19850,COD
Dem. Rep. of the Congo,2000,Refugees,371713,COD
Dem. Rep. of the Congo,2001,Asylum-seekers,28265,COD
Dem. Rep. of the Congo,2001,Refugees,392146,COD
Dem. Rep. of the Congo,2002,Asylum-seekers,44084,COD
Dem. Rep. of the Congo,2002,Refugees,421362,COD
Dem. Rep. of the Congo,2003,Asylum-seekers,51958,COD
Dem. Rep. of the Congo,2003,Refugees,453465,COD
Dem. Rep. of the Congo,2004,Asylum-seekers,50922,COD
Dem. Rep. of the Congo,2004,Refugees,462191,COD
Dem. Rep. of the Congo,2005,Asylum-seekers,55962,COD
Dem. Rep. of the Congo,2005,Refugees,430929,COD
Dem. Rep. of the Congo,2006,Asylum-seekers,29223,COD
Dem. Rep. of the Congo,2006,Refugees,401914,COD
Dem. Rep. of the Congo,2007,Asylum-seekers,36295,COD
Dem. Rep. of the Congo,2007,Refugees,370374,COD
Dem. Rep. of the Congo,2008,Asylum-seekers,36278,COD
Dem. Rep. of the Congo,2008,Refugees,367995,COD
Dem. Rep. of the Congo,2009,Asylum-seekers,31126,COD
Dem. Rep. of the Congo,2009,Refugees,455852,COD
Dem. Rep. of the Congo,2010,Asylum-seekers,43090,COD
Dem. Rep. of the Congo,2010,Refugees,476693,COD
Dem. Rep. of the Congo,2011,Asylum-seekers,52324,COD
Dem. Rep. of the Congo,2011,Refugees,491481,COD
Dem. Rep. of the Congo,2012,Asylum-seekers,58680,COD
Dem. Rep. of the Congo,2012,Refugees,509290,COD
Dem. Rep. of the Congo,2013,Asylum-seekers,65367,COD
Dem. Rep. of the Congo,2013,Refugees,499563,COD
Dem. Rep. of the Congo,2014,Asylum-seekers,67425,COD
Dem. Rep. of the Congo,2014,Refugees,516771,COD
Dem. Rep. of the Congo,2015,Asylum-seekers,76043,COD
Dem. Rep. of the Congo,2015,Refugees,541496,COD
Dem. Rep. of the Congo,2016,Asylum-seekers,82572,COD
Dem. Rep. of the Congo,2016,Refugees,537473,COD
Dem. Rep. of the Congo,2017,Asylum-seekers,136124,COD
Dem. Rep. of the Congo,2017,Refugees,620775,COD
Denmark,1994,Refugees,11,DNK
Denmark,1995,Refugees,18,DNK
Denmark,1996,Refugees,34,DNK
Denmark,1997,Refugees,33,DNK
Denmark,1998,Refugees,28,DNK
Denmark,1999,Refugees,25,DNK
Denmark,2000,Asylum-seekers,4,DNK
Denmark,2000,Refugees,25,DNK
Denmark,2001,Asylum-seekers,1,DNK
Denmark,2001,Refugees,3,DNK
Denmark,2002,Asylum-seekers,9,DNK
Denmark,2002,Refugees,8,DNK
Denmark,2003,Asylum-seekers,6,DNK
Denmark,2003,Refugees,10,DNK
Denmark,2004,Asylum-seekers,6,DNK
Denmark,2004,Refugees,10,DNK
Denmark,2005,Asylum-seekers,7,DNK
Denmark,2005,Refugees,12,DNK
Denmark,2006,Asylum-seekers,7,DNK
Denmark,2006,Refugees,12,DNK
Denmark,2007,Asylum-seekers,2,DNK
Denmark,2007,Refugees,14,DNK
Denmark,2008,Asylum-seekers,7,DNK
Denmark,2008,Refugees,11,DNK
Denmark,2009,Asylum-seekers,1,DNK
Denmark,2009,Refugees,10,DNK
Denmark,2010,Asylum-seekers,4,DNK
Denmark,2010,Refugees,9,DNK
Denmark,2011,Asylum-seekers,3,DNK
Denmark,2011,Refugees,9,DNK
Denmark,2012,Asylum-seekers,1,DNK
Denmark,2012,Refugees,9,DNK
Denmark,2013,Asylum-seekers,7,DNK
Denmark,2013,Refugees,10,DNK
Denmark,2014,Asylum-seekers,7,DNK
Denmark,2014,Refugees,12,DNK
Denmark,2015,Asylum-seekers,10,DNK
Denmark,2015,Refugees,9,DNK
Denmark,2016,Asylum-seekers,7,DNK
Denmark,2016,Refugees,2,DNK
Denmark,2017,Asylum-seekers,16,DNK
Denmark,2017,Refugees,0,DNK
Djibouti,1990,Refugees,5,DJI
Djibouti,1991,Refugees,10,DJI
Djibouti,1992,Refugees,11,DJI
Djibouti,1993,Refugees,38,DJI
Djibouti,1994,Refugees,18068,DJI
Djibouti,1995,Refugees,18095,DJI
Djibouti,1996,Refugees,18101,DJI
Djibouti,1997,Refugees,8142,DJI
Djibouti,1998,Refugees,3219,DJI
Djibouti,1999,Refugees,1879,DJI
Djibouti,2000,Asylum-seekers,147,DJI
Djibouti,2000,Refugees,1910,DJI
Djibouti,2001,Asylum-seekers,182,DJI
Djibouti,2001,Refugees,452,DJI
Djibouti,2002,Asylum-seekers,115,DJI
Djibouti,2002,Refugees,471,DJI
Djibouti,2003,Asylum-seekers,71,DJI
Djibouti,2003,Refugees,522,DJI
Djibouti,2004,Asylum-seekers,40,DJI
Djibouti,2004,Refugees,495,DJI
Djibouti,2005,Asylum-seekers,218,DJI
Djibouti,2005,Refugees,504,DJI
Djibouti,2006,Asylum-seekers,113,DJI
Djibouti,2006,Refugees,485,DJI
Djibouti,2007,Asylum-seekers,32,DJI
Djibouti,2007,Refugees,648,DJI
Djibouti,2008,Asylum-seekers,66,DJI
Djibouti,2008,Refugees,650,DJI
Djibouti,2009,Asylum-seekers,162,DJI
Djibouti,2009,Refugees,622,DJI
Djibouti,2010,Asylum-seekers,232,DJI
Djibouti,2010,Refugees,566,DJI
Djibouti,2011,Asylum-seekers,287,DJI
Djibouti,2011,Refugees,602,DJI
Djibouti,2012,Asylum-seekers,312,DJI
Djibouti,2012,Refugees,640,DJI
Djibouti,2013,Asylum-seekers,406,DJI
Djibouti,2013,Refugees,762,DJI
Djibouti,2014,Asylum-seekers,426,DJI
Djibouti,2014,Refugees,879,DJI
Djibouti,2015,Asylum-seekers,549,DJI
Djibouti,2015,Refugees,1069,DJI
Djibouti,2016,Asylum-seekers,840,DJI
Djibouti,2016,Refugees,1440,DJI
Djibouti,2017,Asylum-seekers,1278,DJI
Djibouti,2017,Refugees,1741,DJI
Dominica,1996,Refugees,1,DMA
Dominica,1997,Refugees,1,DMA
Dominica,1998,Refugees,1,DMA
Dominica,1999,Refugees,3,DMA
Dominica,2000,Asylum-seekers,16,DMA
Dominica,2000,Refugees,2,DMA
Dominica,2001,Asylum-seekers,27,DMA
Dominica,2001,Refugees,5,DMA
Dominica,2002,Asylum-seekers,49,DMA
Dominica,2002,Refugees,6,DMA
Dominica,2003,Asylum-seekers,29,DMA
Dominica,2003,Refugees,17,DMA
Dominica,2004,Asylum-seekers,19,DMA
Dominica,2004,Refugees,25,DMA
Dominica,2005,Asylum-seekers,46,DMA
Dominica,2005,Refugees,30,DMA
Dominica,2006,Asylum-seekers,18,DMA
Dominica,2006,Refugees,49,DMA
Dominica,2007,Asylum-seekers,9,DMA
Dominica,2007,Refugees,58,DMA
Dominica,2008,Asylum-seekers,23,DMA
Dominica,2008,Refugees,56,DMA
Dominica,2009,Asylum-seekers,22,DMA
Dominica,2009,Refugees,53,DMA
Dominica,2010,Asylum-seekers,18,DMA
Dominica,2010,Refugees,52,DMA
Dominica,2011,Asylum-seekers,10,DMA
Dominica,2011,Refugees,52,DMA
Dominica,2012,Asylum-seekers,12,DMA
Dominica,2012,Refugees,54,DMA
Dominica,2013,Asylum-seekers,19,DMA
Dominica,2013,Refugees,43,DMA
Dominica,2014,Asylum-seekers,17,DMA
Dominica,2014,Refugees,38,DMA
Dominica,2015,Asylum-seekers,87,DMA
Dominica,2015,Refugees,38,DMA
Dominica,2016,Asylum-seekers,123,DMA
Dominica,2016,Refugees,24,DMA
Dominica,2017,Asylum-seekers,53,DMA
Dominica,2017,Refugees,26,DMA
Dominican Rep.,1978,Refugees,50,DOM
Dominican Rep.,1980,Refugees,1,DOM
Dominican Rep.,1981,Refugees,1,DOM
Dominican Rep.,1982,Refugees,1,DOM
Dominican Rep.,1983,Refugees,1,DOM
Dominican Rep.,1984,Refugees,1,DOM
Dominican Rep.,1985,Refugees,1,DOM
Dominican Rep.,1986,Refugees,1,DOM
Dominican Rep.,1993,Refugees,1,DOM
Dominican Rep.,1994,Refugees,29,DOM
Dominican Rep.,1995,Refugees,30,DOM
Dominican Rep.,1996,Refugees,29,DOM
Dominican Rep.,1997,Refugees,47,DOM
Dominican Rep.,1998,Refugees,42,DOM
Dominican Rep.,1999,Refugees,45,DOM
Dominican Rep.,2000,Asylum-seekers,50,DOM
Dominican Rep.,2000,Refugees,47,DOM
Dominican Rep.,2001,Asylum-seekers,126,DOM
Dominican Rep.,2001,Refugees,46,DOM
Dominican Rep.,2002,Asylum-seekers,144,DOM
Dominican Rep.,2002,Refugees,83,DOM
Dominican Rep.,2003,Asylum-seekers,125,DOM
Dominican Rep.,2003,Refugees,92,DOM
Dominican Rep.,2004,Asylum-seekers,149,DOM
Dominican Rep.,2004,Refugees,97,DOM
Dominican Rep.,2005,Asylum-seekers,79,DOM
Dominican Rep.,2005,Refugees,67,DOM
Dominican Rep.,2006,Asylum-seekers,123,DOM
Dominican Rep.,2006,Refugees,150,DOM
Dominican Rep.,2007,Asylum-seekers,135,DOM
Dominican Rep.,2007,Refugees,358,DOM
Dominican Rep.,2008,Asylum-seekers,270,DOM
Dominican Rep.,2008,Refugees,318,DOM
Dominican Rep.,2009,Asylum-seekers,407,DOM
Dominican Rep.,2009,Refugees,230,DOM
Dominican Rep.,2010,Asylum-seekers,396,DOM
Dominican Rep.,2010,Refugees,246,DOM
Dominican Rep.,2011,Asylum-seekers,353,DOM
Dominican Rep.,2011,Refugees,250,DOM
Dominican Rep.,2012,Asylum-seekers,358,DOM
Dominican Rep.,2012,Refugees,289,DOM
Dominican Rep.,2013,Asylum-seekers,850,DOM
Dominican Rep.,2013,Refugees,306,DOM
Dominican Rep.,2014,Asylum-seekers,1148,DOM
Dominican Rep.,2014,Refugees,349,DOM
Dominican Rep.,2015,Asylum-seekers,1710,DOM
Dominican Rep.,2015,Refugees,382,DOM
Dominican Rep.,2016,Asylum-seekers,2350,DOM
Dominican Rep.,2016,Refugees,361,DOM
Dominican Rep.,2017,Asylum-seekers,3147,DOM
Dominican Rep.,2017,Refugees,412,DOM
Ecuador,1990,Refugees,3,ECU
Ecuador,1991,Refugees,27,ECU
Ecuador,1992,Refugees,40,ECU
Ecuador,1993,Refugees,47,ECU
Ecuador,1994,Refugees,174,ECU
Ecuador,1995,Refugees,206,ECU
Ecuador,1996,Refugees,221,ECU
Ecuador,1997,Refugees,217,ECU
Ecuador,1998,Refugees,512,ECU
Ecuador,1999,Refugees,496,ECU
Ecuador,2000,Asylum-seekers,271,ECU
Ecuador,2000,Refugees,671,ECU
Ecuador,2001,Asylum-seekers,444,ECU
Ecuador,2001,Refugees,653,ECU
Ecuador,2002,Asylum-seekers,836,ECU
Ecuador,2002,Refugees,822,ECU
Ecuador,2003,Asylum-seekers,702,ECU
Ecuador,2003,Refugees,730,ECU
Ecuador,2004,Asylum-seekers,494,ECU
Ecuador,2004,Refugees,727,ECU
Ecuador,2005,Asylum-seekers,287,ECU
Ecuador,2005,Refugees,775,ECU
Ecuador,2006,Asylum-seekers,270,ECU
Ecuador,2006,Refugees,887,ECU
Ecuador,2007,Asylum-seekers,281,ECU
Ecuador,2007,Refugees,1332,ECU
Ecuador,2008,Asylum-seekers,244,ECU
Ecuador,2008,Refugees,1066,ECU
Ecuador,2009,Asylum-seekers,281,ECU
Ecuador,2009,Refugees,1027,ECU
Ecuador,2010,Asylum-seekers,209,ECU
Ecuador,2010,Refugees,852,ECU
Ecuador,2011,Asylum-seekers,259,ECU
Ecuador,2011,Refugees,909,ECU
Ecuador,2012,Asylum-seekers,517,ECU
Ecuador,2012,Refugees,844,ECU
Ecuador,2013,Asylum-seekers,2343,ECU
Ecuador,2013,Refugees,707,ECU
Ecuador,2014,Asylum-seekers,6970,ECU
Ecuador,2014,Refugees,804,ECU
Ecuador,2015,Asylum-seekers,10418,ECU
Ecuador,2015,Refugees,1009,ECU
Ecuador,2016,Asylum-seekers,13699,ECU
Ecuador,2016,Refugees,1046,ECU
Ecuador,2017,Asylum-seekers,17312,ECU
Ecuador,2017,Refugees,1236,ECU
Egypt,1978,Refugees,50,EGY
Egypt,1980,Refugees,2,EGY
Egypt,1981,Refugees,4,EGY
Egypt,1982,Refugees,5,EGY
Egypt,1983,Refugees,6,EGY
Egypt,1984,Refugees,6,EGY
Egypt,1985,Refugees,7,EGY
Egypt,1986,Refugees,8,EGY
Egypt,1987,Refugees,8,EGY
Egypt,1988,Refugees,14,EGY
Egypt,1989,Refugees,13,EGY
Egypt,1990,Refugees,48,EGY
Egypt,1991,Refugees,97,EGY
Egypt,1992,Refugees,209,EGY
Egypt,1993,Refugees,258,EGY
Egypt,1994,Refugees,502,EGY
Egypt,1995,Refugees,872,EGY
Egypt,1996,Refugees,1202,EGY
Egypt,1997,Refugees,1722,EGY
Egypt,1998,Refugees,2612,EGY
Egypt,1999,Refugees,3491,EGY
Egypt,2000,Asylum-seekers,1154,EGY
Egypt,2000,Refugees,3953,EGY
Egypt,2001,Asylum-seekers,1445,EGY
Egypt,2001,Refugees,4678,EGY
Egypt,2002,Asylum-seekers,1834,EGY
Egypt,2002,Refugees,6443,EGY
Egypt,2003,Asylum-seekers,2025,EGY
Egypt,2003,Refugees,5735,EGY
Egypt,2004,Asylum-seekers,2252,EGY
Egypt,2004,Refugees,5371,EGY
Egypt,2005,Asylum-seekers,2329,EGY
Egypt,2005,Refugees,6291,EGY
Egypt,2006,Asylum-seekers,1695,EGY
Egypt,2006,Refugees,7613,EGY
Egypt,2007,Asylum-seekers,1632,EGY
Egypt,2007,Refugees,6799,EGY
Egypt,2008,Asylum-seekers,1828,EGY
Egypt,2008,Refugees,6780,EGY
Egypt,2009,Asylum-seekers,1638,EGY
Egypt,2009,Refugees,6990,EGY
Egypt,2010,Asylum-seekers,1588,EGY
Egypt,2010,Refugees,6913,EGY
Egypt,2011,Asylum-seekers,2626,EGY
Egypt,2011,Refugees,7936,EGY
Egypt,2012,Asylum-seekers,4130,EGY
Egypt,2012,Refugees,10020,EGY
Egypt,2013,Asylum-seekers,9487,EGY
Egypt,2013,Refugees,12810,EGY
Egypt,2014,Asylum-seekers,11057,EGY
Egypt,2014,Refugees,15903,EGY
Egypt,2015,Asylum-seekers,12154,EGY
Egypt,2015,Refugees,17926,EGY
Egypt,2016,Asylum-seekers,13050,EGY
Egypt,2016,Refugees,19796,EGY
Egypt,2017,Asylum-seekers,14562,EGY
Egypt,2017,Refugees,22056,EGY
El Salvador,1980,Refugees,91630,SLV
El Salvador,1981,Refugees,304810,SLV
El Salvador,1982,Refugees,242400,SLV
El Salvador,1983,Refugees,244600,SLV
El Salvador,1984,Refugees,243000,SLV
El Salvador,1985,Refugees,180604,SLV
El Salvador,1986,Refugees,171784,SLV
El Salvador,1987,Refugees,167604,SLV
El Salvador,1988,Refugees,166393,SLV
El Salvador,1989,Refugees,39582,SLV
El Salvador,1990,Refugees,30019,SLV
El Salvador,1991,Refugees,33049,SLV
El Salvador,1992,Refugees,30855,SLV
El Salvador,1993,Refugees,26124,SLV
El Salvador,1994,Refugees,30735,SLV
El Salvador,1995,Refugees,23535,SLV
El Salvador,1996,Refugees,19639,SLV
El Salvador,1997,Refugees,17126,SLV
El Salvador,1998,Refugees,12591,SLV
El Salvador,1999,Refugees,12410,SLV
El Salvador,2000,Asylum-seekers,176479,SLV
El Salvador,2000,Refugees,7756,SLV
El Salvador,2001,Asylum-seekers,164989,SLV
El Salvador,2001,Refugees,7150,SLV
El Salvador,2002,Asylum-seekers,151585,SLV
El Salvador,2002,Refugees,6632,SLV
El Salvador,2003,Asylum-seekers,128653,SLV
El Salvador,2003,Refugees,5658,SLV
El Salvador,2004,Asylum-seekers,91772,SLV
El Salvador,2004,Refugees,4497,SLV
El Salvador,2005,Asylum-seekers,45205,SLV
El Salvador,2005,Refugees,4281,SLV
El Salvador,2006,Asylum-seekers,28783,SLV
El Salvador,2006,Refugees,6388,SLV
El Salvador,2007,Asylum-seekers,18615,SLV
El Salvador,2007,Refugees,6022,SLV
El Salvador,2008,Asylum-seekers,11160,SLV
El Salvador,2008,Refugees,5151,SLV
El Salvador,2009,Asylum-seekers,9751,SLV
El Salvador,2009,Refugees,5051,SLV
El Salvador,2010,Asylum-seekers,1553,SLV
El Salvador,2010,Refugees,4976,SLV
El Salvador,2011,Asylum-seekers,1636,SLV
El Salvador,2011,Refugees,6720,SLV
El Salvador,2012,Asylum-seekers,1648,SLV
El Salvador,2012,Refugees,8171,SLV
El Salvador,2013,Asylum-seekers,11271,SLV
El Salvador,2013,Refugees,9635,SLV
El Salvador,2014,Asylum-seekers,18037,SLV
El Salvador,2014,Refugees,10965,SLV
El Salvador,2015,Asylum-seekers,31454,SLV
El Salvador,2015,Refugees,14778,SLV
El Salvador,2016,Asylum-seekers,62167,SLV
El Salvador,2016,Refugees,19614,SLV
El Salvador,2017,Asylum-seekers,104892,SLV
El Salvador,2017,Refugees,25861,SLV
Equatorial Guinea,1975,Refugees,90000,GNQ
Equatorial Guinea,1976,Refugees,90000,GNQ
Equatorial Guinea,1977,Refugees,120000,GNQ
Equatorial Guinea,1978,Refugees,90000,GNQ
Equatorial Guinea,1979,Refugees,40000,GNQ
Equatorial Guinea,1980,Refugees,38001,GNQ
Equatorial Guinea,1981,Refugees,18001,GNQ
Equatorial Guinea,1982,Refugees,18001,GNQ
Equatorial Guinea,1983,Refugees,1,GNQ
Equatorial Guinea,1984,Refugees,1,GNQ
Equatorial Guinea,1985,Refugees,1,GNQ
Equatorial Guinea,1991,Refugees,60,GNQ
Equatorial Guinea,1992,Refugees,114,GNQ
Equatorial Guinea,1993,Refugees,214,GNQ
Equatorial Guinea,1994,Refugees,342,GNQ
Equatorial Guinea,1995,Refugees,343,GNQ
Equatorial Guinea,1996,Refugees,397,GNQ
Equatorial Guinea,1997,Refugees,473,GNQ
Equatorial Guinea,1998,Refugees,420,GNQ
Equatorial Guinea,1999,Refugees,429,GNQ
Equatorial Guinea,2000,Asylum-seekers,42,GNQ
Equatorial Guinea,2000,Refugees,509,GNQ
Equatorial Guinea,2001,Asylum-seekers,42,GNQ
Equatorial Guinea,2001,Refugees,529,GNQ
Equatorial Guinea,2002,Asylum-seekers,67,GNQ
Equatorial Guinea,2002,Refugees,552,GNQ
Equatorial Guinea,2003,Asylum-seekers,61,GNQ
Equatorial Guinea,2003,Refugees,591,GNQ
Equatorial Guinea,2004,Asylum-seekers,59,GNQ
Equatorial Guinea,2004,Refugees,546,GNQ
Equatorial Guinea,2005,Asylum-seekers,59,GNQ
Equatorial Guinea,2005,Refugees,477,GNQ
Equatorial Guinea,2006,Asylum-seekers,32,GNQ
Equatorial Guinea,2006,Refugees,461,GNQ
Equatorial Guinea,2007,Asylum-seekers,31,GNQ
Equatorial Guinea,2007,Refugees,407,GNQ
Equatorial Guinea,2008,Asylum-seekers,46,GNQ
Equatorial Guinea,2008,Refugees,384,GNQ
Equatorial Guinea,2009,Asylum-seekers,40,GNQ
Equatorial Guinea,2009,Refugees,344,GNQ
Equatorial Guinea,2010,Asylum-seekers,79,GNQ
Equatorial Guinea,2010,Refugees,305,GNQ
Equatorial Guinea,2011,Asylum-seekers,50,GNQ
Equatorial Guinea,2011,Refugees,258,GNQ
Equatorial Guinea,2012,Asylum-seekers,85,GNQ
Equatorial Guinea,2012,Refugees,228,GNQ
Equatorial Guinea,2013,Asylum-seekers,75,GNQ
Equatorial Guinea,2013,Refugees,200,GNQ
Equatorial Guinea,2014,Asylum-seekers,95,GNQ
Equatorial Guinea,2014,Refugees,174,GNQ
Equatorial Guinea,2015,Asylum-seekers,90,GNQ
Equatorial Guinea,2015,Refugees,154,GNQ
Equatorial Guinea,2016,Asylum-seekers,105,GNQ
Equatorial Guinea,2016,Refugees,142,GNQ
Equatorial Guinea,2017,Asylum-seekers,102,GNQ
Equatorial Guinea,2017,Refugees,122,GNQ
Eritrea,1979,Refugees,400,ERI
Eritrea,1980,Refugees,542,ERI
Eritrea,1981,Refugees,1542,ERI
Eritrea,1982,Refugees,1585,ERI
Eritrea,1983,Refugees,1385,ERI
Eritrea,1984,Refugees,1385,ERI
Eritrea,1985,Refugees,1385,ERI
Eritrea,1986,Refugees,177,ERI
Eritrea,1987,Refugees,167,ERI
Eritrea,1988,Refugees,133,ERI
Eritrea,1989,Refugees,43,ERI
Eritrea,1990,Refugees,43,ERI
Eritrea,1991,Refugees,500633,ERI
Eritrea,1992,Refugees,503200,ERI
Eritrea,1993,Refugees,427213,ERI
Eritrea,1994,Refugees,422433,ERI
Eritrea,1995,Refugees,286712,ERI
Eritrea,1996,Refugees,332225,ERI
Eritrea,1997,Refugees,319077,ERI
Eritrea,1998,Refugees,346781,ERI
Eritrea,1999,Refugees,347138,ERI
Eritrea,2000,Asylum-seekers,2573,ERI
Eritrea,2000,Refugees,376851,ERI
Eritrea,2001,Asylum-seekers,2852,ERI
Eritrea,2001,Refugees,333229,ERI
Eritrea,2002,Asylum-seekers,25842,ERI
Eritrea,2002,Refugees,318176,ERI
Eritrea,2003,Asylum-seekers,2841,ERI
Eritrea,2003,Refugees,124121,ERI
Eritrea,2004,Asylum-seekers,2826,ERI
Eritrea,2004,Refugees,131123,ERI
Eritrea,2005,Asylum-seekers,4034,ERI
Eritrea,2005,Refugees,144066,ERI
Eritrea,2006,Asylum-seekers,5056,ERI
Eritrea,2006,Refugees,193745,ERI
Eritrea,2007,Asylum-seekers,12209,ERI
Eritrea,2007,Refugees,208748,ERI
Eritrea,2008,Asylum-seekers,14604,ERI
Eritrea,2008,Refugees,186398,ERI
Eritrea,2009,Asylum-seekers,14394,ERI
Eritrea,2009,Refugees,209168,ERI
Eritrea,2010,Asylum-seekers,13599,ERI
Eritrea,2010,Refugees,222460,ERI
Eritrea,2011,Asylum-seekers,14618,ERI
Eritrea,2011,Refugees,251954,ERI
Eritrea,2012,Asylum-seekers,20557,ERI
Eritrea,2012,Refugees,285371,ERI
Eritrea,2013,Asylum-seekers,28951,ERI
Eritrea,2013,Refugees,308236,ERI
Eritrea,2014,Asylum-seekers,53786,ERI
Eritrea,2014,Refugees,363092,ERI
Eritrea,2015,Asylum-seekers,62108,ERI
Eritrea,2015,Refugees,407449,ERI
Eritrea,2016,Asylum-seekers,64266,ERI
Eritrea,2016,Refugees,459430,ERI
Eritrea,2017,Asylum-seekers,78278,ERI
Eritrea,2017,Refugees,486169,ERI
Estonia,1991,Refugees,2,EST
Estonia,1992,Refugees,59,EST
Estonia,1993,Refugees,95,EST
Estonia,1994,Refugees,297,EST
Estonia,1995,Refugees,351,EST
Estonia,1996,Refugees,1310,EST
Estonia,1997,Refugees,1266,EST
Estonia,1998,Refugees,792,EST
Estonia,1999,Refugees,633,EST
Estonia,2000,Asylum-seekers,78,EST
Estonia,2000,Refugees,455,EST
Estonia,2001,Asylum-seekers,99,EST
Estonia,2001,Refugees,479,EST
Estonia,2002,Asylum-seekers,160,EST
Estonia,2002,Refugees,1060,EST
Estonia,2003,Asylum-seekers,187,EST
Estonia,2003,Refugees,1027,EST
Estonia,2004,Asylum-seekers,149,EST
Estonia,2004,Refugees,855,EST
Estonia,2005,Asylum-seekers,135,EST
Estonia,2005,Refugees,743,EST
